year,Title,Director,Cast,Country,Subgenre/Notes,
1982,Timerider: The Adventure of Lyle Swann,William Dear,Fred Ward, ,,
1982,Time Walker,Tom Kennedy,Ben Murphy, ,,
1982,Tron,Steven Lisberger,Jeff Bridges, ,[nb 8],
1982,Turkey Shoot,Brian Trenchard-Smith,Steve Railsback, ,,
1982,Warlords of the 21st Century,Harley Cokliss,Michael Beck, ,[5],
1982,Zapped!,Robert J. Rosenthal,Scott Baio, ,,
1983,2019 After the Fall of New York,Sergio Martino,Michael Sopkiw, ,,
1983,Anna to the Infinite Power,Robert Wiemer,Martha Byrne, ,,
1983,The Atlantis Interceptors,Ruggero Deodato,Ivan Rassimov, ,,
1983,Born in Flames,Lizzie Borden,Jeanne Satterfield, ,,
1983,Brainstorm,Douglas Trumbull,Christopher Walken, ,,
1983,BrainWaves,Ulli Lommel,Keir Dullea, ,[6],
1983,The Creature Wasn't Nice,Bruce Kimmel,Leslie Nielsen, ,,
1983,Crusher Joe,Yoshikazu Yasuhiko,, ,Anime film,
1983,Daijōbu My Friend,Ryū Murakami,Peter Fonda, ,,
1983,The Dead Zone,David Cronenberg,Christopher Walken, ,,
1983,The Deadly Spawn,Douglas McKeown,Charles George Hildebrandt, ,,
1983,Endgame,Joe D'Amato,Al Cliver, ,,
1983,Escape from the Bronx,Enzo G. Castellari,Mark Gregory, ,,
1983,Exterminators of the Year 3000,Giuliano Carmineo,Robert Iannucci, ,,
1983,Final Yamato,Tomoharu Katsumata,Kei Tomiyama, ,Fourth theatrical ,
1983,Halloween III: Season of the Witch,Tommy Lee Wallace,Tom Atkins, ,,
1983,Harmagedon,Rintaro,Tôru Furuya, ,Anime film,
1983,Kometa,Richard Viktorov,Nadezhda Semencova, ,Comedy,
1983,Krull,Peter Yates,Ken Marshall, ,,
1983,The Last Battle,Luc Besson,Pierre Jolivet, ,,
1983,Liquid Sky,Slava Tsukerman,Anne Carlisle, ,,
1983,Metalstorm: The Destruction of Jared-Syn,Charles Band,Jeffrey Byron, ,,
1983,The Prize of Peril,Yves Boisset,Gérard Lanvin, ,,
1983,Return of the Jedi,Richard Marquand,Mark Hamill, ,[nb 10],
1983,Rock & Rule,Clive A. Smith,Paul Le Mat, ,Animated film,
1983,Space Raiders,Howard R. Cohen,Vince Edwards, ,,
1983,Spacehunter: Adventures in the Forbidden Zone,Lamont Johnson,Peter Strauss, ,,
1983,Strange Invaders,Michael Laughlin,Paul Le Mat, ,,
1983,Superman III,Richard Lester,Christopher Reeve, ,,
1983,Twilight Zone: The Movie,Joe Dante,Dan Aykroyd, ,,
1983,Videodrome,David Cronenberg,James Woods, ,,
1983,Warrior of the Lost World,David Worth,Robert Ginty, ,,
1983,Wavelength,Mike Gray,Robert Carradine, ,,
1983,Xtro,Harry Bromley Davenport,Philip Sayer, ,,
1983,Yor the Hunter from the Future,Antonio Margheriti,Reb Brown, ,,
1984,Peter Hyams,Roy Scheider, ,[nb 11],
1984,The Adventures of Buckaroo Banzai Across the 8th Dimension,W. D. Richter,Peter Weller, ,,
1984,Babičky dobíjejte přesně!,Ladislav Rychman,Daniela Kolářová, ,,
1984,Bloodsuckers from Outer Space,Glen Coburn,Thom Meyes , ,,
1984,The Brother from Another Planet,John Sayles,Joe Morton, ,,
1984,Dreamscape,Joseph Ruben,Dennis Quaid, ,,
1984,Dune,David Lynch,Francesca Annis, ,,
1984,Electric Dreams,Steve Barron,Lenny Von Dohlen, ,,
1984,The Ewok Adventure,John Korty,Eric Walker, ,[7],
1984,The Element of Crime,Lars von Trier,Michael Elphick, ,,
1984,Firestarter,Mark L. Lester,Drew Barrymore, ,,
1984,Ghostbusters,Ivan Reitman,Bill Murray, ,,
1984,Gremlins,Joe Dante,Zach Galligan, ,,
1984,I Guerrieri dell'anno 2072,Lucio Fulci,Jared Martin, ,,
1984,Iceman,Fred Schepisi,Timothy Hutton, ,,
1984,The Ice Pirates,Stewart Raffill,Robert Urich, ,,
1984,Impulse,Graham Baker,Tim Matheson, ,,
1984,The Last Starfighter,Nick Castle,Lance Guest, ,,
1984,Lensman,Yoshiaki Kawajiri,Toshio Furukawa, ,Anime film,
1984,Macross: Do You Remember Love?,Shoji Kawamori,Mari Iijima, ,Anime film,
1984,The Noah's Ark Principle,Roland Emmerich,Richy Müller, ,,
1984,Nausicaä of the Valley of the Wind,Hayao Miyazaki,Sumi Shimamoto, ,Anime film,
1984,Night of the Comet,Thom Eberhardt,Catherine Mary Stewart, ,,
1984,Nineteen Eighty-Four,Michael Radford,John Hurt, ,,
1984,The Philadelphia Experiment,Stewart Raffill,Michael Paré, ,,
1984,Repo Man,Alex Cox,Harry Dean Stanton, ,,
1984,The Return of Godzilla,Koji Hashimoto (director),Raymond Burr, ,,
1984,Runaway,Michael Crichton,Tom Selleck, ,,
1984,Sayonara Jupiter,Koji Hashimoto,Tomokazu Miura, ,,
1984,Sexmission,Juliusz Machulski,Olgierd Lukaszewicz, ,,
1984,Star Trek III: The Search for Spock,Leonard Nimoy,William Shatner, ,,
1984,Starman,John Carpenter,Jeff Bridges, ,,
1984,The Terminator,James Cameron,Arnold Schwarzenegger, ,[nb 12],
1985,Back to the Future,Robert Zemeckis,Michael J. Fox, ,[nb 13],
1985,Brazil,Terry Gilliam,Jonathan Pryce, ,[nb 14],
1985,City Limits,Aaron Lipstadt,Darrell Larson, ,,
1985,Cocoon,Ron Howard,Don Ameche, ,,
1985,Creature,William Malone,Stan Ivar, ,,
1985,D.A.R.Y.L.,Simon Wincer,Barret Oliver, ,,
1985,The Dungeonmaster,Dave Allen,Jeffrey Byron, ,,
1985,Day of the Dead,George Romero,Lori Cardille, ,,
1985,Enemy Mine,Wolfgang Petersen,Dennis Quaid, ,,
1985,Explorers,Joe Dante,Ethan Hawke, ,,
1985,Galaxy Invader,Don Dohler,Richard Ruxton George Stover Faye Tilles Glenn Barnes, ,,
1985,Gwen or the Book of Sand,Jean-François Laguionie,Michel Robin, ,Animated film,
1985,Joey,Roland Emmerich,Joshua Morrell, ,,
1985,Lifeforce,Tobe Hooper,Steve Railsback, ,,
1985,Mad Max Beyond Thunderdome,George Ogilvie,Mel Gibson, ,,
1985,Morons from Outer Space,Mike Hodges,Mel Smith, ,,
1985,My Science Project,Jonathan Betuel,John Stockwell, ,,
1985,O-Bi O-Ba: The End of Civilization,Piotr Szulkin,Jerzy Stuhr, ,,
1985,Odin: Photon Sailer Starlight,,, ,Anime film,
1985,The Quiet Earth,Geoff Murphy,Bruno Lawrence, ,,
1985,Radioactive Dreams,Albert Pyun,Michael Dudikoff, ,,
1985,Real Genius,Martha Coolidge,Val Kilmer, ,,
1985,Re-Animator,Stuart Gordon,Jeffrey Combs, ,,
1985,Space Rage,Conrad E. Palmisano,Richard Farnsworth, ,,
1985,Starchaser: The Legend of Orin,Steven Hahn,Joe Colligan, ,Animated film,
1985,Trancers,Charles Band,Tim Thomerson, ,,
1985,Visit with Van Gogh,Horst Seemann,Grażyna Szapołowska, ,German title: ,
1985,Weird Science,John Hughes,Anthony Michael Hall, ,,
1986,Aliens,James Cameron,Sigourney Weaver, ,[nb 15],
1986,The Aurora Encounter,Jim McCullough Sr.,Jack Elam, ,[6],
1986,Chopping Mall,Jim Wynorski,Kelli Maroney, ,[6],
1986,Critters,Stephen Herek,Dee Wallace, ,,
1986,Dead End Drive-In,Brian Trenchard-Smith,Ned Manning, ,,
1986,Dead Man's Letters,Konstantin Lopushansky,Rolan Bykov, ,antiutopia,
1986,Death Powder,Shigeru Izumiya,Shigeru Izumiya, ,,
1986,Deadly Friend,Wes Craven,Matthew Laborteaux, ,,
1986,Dirty Pair: Project Eden,Kōichi Mashimo,Saeko Shimazu, ,Anime film,
1986,Eliminators,Peter Manoogian,Andrew Prine, ,,
1986,Fist of the North Star,Toyoo Ashida,Akira Kamiya, ,Anime film,
1986,Flight of the Navigator,Randal Kleiser,Joey Cramer, ,,
1986,The Fly,David Cronenberg,Jeff Goldblum, ,[nb 16],
1986,Ga Ga - Chwala bohaterom,Peter Szulkin,Katarzyna Figura, ,,
1986,Gröna gubbar från Y.R.,Hans Hatwig,Carl Billquist, ,[13],
1986,Howard the Duck,Willard Huyck,Lea Thompson, ,[nb 18],
1986,Invaders from Mars,Tobe Hooper,Karen Black, ,,
1986,Kamikaze,Didier Grousset,Richard Bohringer, ,[14],
1986,Kin-dza-dza!,Georgi Daneliya,Stanislav Lyubshin, ,,
1986,Maximum Overdrive,Stephen King,Emilio Estevez, ,,
1986,Night of the Creeps,Fred Dekker,Jason Lively, ,,
1986,Programmed to Kill,Allan Holzman,Robert Ginty, ,[15],
1986,Project A-ko,Katsuhiko Nishijima,, ,Anime film,
1986,Short Circuit,John Badham,Ally Sheedy, ,,
1986,Star Crystal,Lance Lindsay,C. Juston Campbell, ,,
1986,Star Trek IV: The Voyage Home,Leonard Nimoy,William Shatner, ,,
1986,TerrorVision,Ted Nicolaou,Diane Franklin, ,[16],
1986,They Were Eleven,Satoshi Dezaki,, ,Anime film,
1986,The Transformers: The Movie,Nelson Shin,Leonard Nimoy, ,Animated film,
1986,Vendetta dal futuro,Sergio Martino,Daniel Greene, ,,
1986,The Wraith,Mike Marvin,Charlie Sheen, ,,
1986,Zone Troopers,Danny Bilson,Tim Thomerson, ,[17],
1987,*batteries not included,Matthew Robbins,Hume Cronyn, ,,
1987,Amazon Women on the Moon,John Landis,Arsenio Hall, ,,
1987,Bad Taste,Peter Jackson,Peter Jackson, ,,
1987,Cherry 2000,Steve De Jarnatt,Melanie Griffith, ,,
1987,Creepozoids,David DeCoteau,Linnea Quigley, ,,
1987,Cyclops,Jôji Iida,Kai Atō, ,,
1987,The Curse,David Chaskin,Wil Wheaton, ,[18],
1987,Death Run,Michael J. Murphy,Rob Bartlett, ,,
1987,The Hidden,Jack Sholder,Kyle MacLachlan, ,,
1987,Innerspace,Joe Dante,Dennis Quaid, ,[nb 19],
1987,The Kindred,Stephen Carpenter,David Allen Brooks, ,[19],
1987,Making Mr. Right,Susan Seidelman,John Malkovich, ,,
1987,Masters of the Universe,Gary Goddard,Dolph Lundgren, ,,
1987,Mr. India,Shekhar Kapur,Anil Kapoor, ,,
1987,Nightflyers,Robert Collector,Catherine Mary Stewart, ,[20],
1987,Predator,John McTiernan,Arnold Schwarzenegger, ,,
1987,Prison Ship,Fred Olen Ray,Ross Hagen, ,[nb 20],
1987,Project X,Jonathan Kaplan,Matthew Broderick, ,,
1987,RoboCop,Paul Verhoeven,Peter Weller, ,[nb 21],
1987,Royal Space Force: The Wings of Honnêamise,Hiroyuki Yamaga,, ,Anime film,
1987,The Running Man,Paul Michael Glaser,Arnold Schwarzenegger, ,,
1987,Spaceballs,Mel Brooks,Mel Brooks, ,,
1987,Slave Girls from Beyond Infinity,Ken Dixon,Elizabeth Kaitan, ,,
1987,Steel Dawn,Lance Hool,Patrick Swayze, ,,
1987,The Stepford Children,Alan J. Levi,Barbara Eden, ,,
1987,Timestalkers,Michael Schultz,William Devane, ,,
1987,Superman IV: The Quest for Peace,Sidney J. Furie,Christopher Reeve, ,,
1987,Wicked City,Yoshiaki Kawajiri,, ,Anime film,
1988,Akira,Katsuhiro Ōtomo,, ,Anime film,
1988,Alien from L.A.,Albert Pyun,Kathy Ireland, ,,
1988,Alien Nation,Graham Baker,James Caan, ,[nb 22],
1988,Andy Colby's Incredible Adventure,Deborah Brock,Randy Josselyn, ,,
1988,As Time Goes By,Barry Peak,Max Gillies, ,Comedy,
1988,The Blob,Chuck Russell,Kevin Dillon, ,,
1988,Bumerang,Olaf Skrzipczyk,, ,Short film parody. First screened in 1994 at the NoBudget-Kurzfilmfestival in Hamburg,
1988,Critters 2: The Main Course,Mick Garris,Scott Grimes, ,,
1988,Earth Girls Are Easy,Julien Temple,Geena Davis, ,,
1988,Gandahar,René Laloux,, ,Animated film,
1988,Killer Klowns from Outer Space,Stephen Chiodo,Grant Cramer, ,,
1988,The Lawless Land,Jon Hess,Nick Corri, ,[26],
1988,Legend of the Galactic Heroes: My Conquest is the Sea of Stars,Noboru Ishiguro,Ryō Horikawa, ,Anime film,
1988,Mac and Me,Stewart Ratfill,Christine Ebersole, ,[28],
1988,Midnight Movie Massacre,Mark Stock,Robert Clarke, ,[29],
1988,Miracle Mile,Steve De Jarnatt,Anthony Edwards, ,,
1988,Mobile Suit Gundam: Char's Counterattack,Yoshiyuki Tomino,, ,Anime film,
1988,My Stepmother Is an Alien,Richard Benjamin,Kim Basinger, ,,
1988,The Nest,Terence H. Winkless,Robert Lansing, ,,
1988,Not of This Earth,Jim Wynorski,Traci Lords, ,,
1988,On the Silver Globe,Andrzej Zulawski,Andrzej Seweryn, ,,
1988,Pulse,Paul Golding,Cliff DeYoung, ,,
1988,Short Circuit 2,Kenneth Johnson,Fisher Stevens, ,,
1988,They Live,John Carpenter,Roddy Piper, ,,
1988,Transformations,Jay Kamen,Rex Smith, ,[31],
1988,Warlords,Fred Olen Ray,David Carradine, ,[32],
1988,World Gone Wild,Lee H. Katzin,Bruce Dern, ,[33],
1989,Alienator,Fred Olen Ray,Jan-Michael Vincent, ,,
1989,Alien Seed,Bob James,Erik Estrada, ,,
1989,Arena,Peter Manoogian,Claudia Christian, ,,
1989,The Abyss,James Cameron,Ed Harris, ,[nb 24],
1989,Back to the Future Part II,Robert Zemeckis,Michael J. Fox, ,,
1989,Bill & Ted's Excellent Adventure,Stephen Herek,Keanu Reeves, ,,
1989,The Blood of Heroes,David Webb Peoples,Rutger Hauer, ,[34],
1989,Bunker Palace Hôtel,Enki Bilal,Jean-Louis Trintignant, ,[36],
1989,Communion,Philippe Mora,Christopher Walken, ,,
1989,Cyborg,Albert Pyun,Jean-Claude Van Damme, ,,
1989,Deceit,Albert Pyun,Sam Phillips, ,,
1989,DeepStar Six,Sean S. Cunningham,Taurean Blacque, ,,
1989,The Evil Below,Wayne Crawford,Wayne Crawford, ,,
1989,The Five Star Stories,Kazuo Yamazaki,, ,Anime film,
1989,Ghostbusters II,Ivan Reitman,Bill Murray, ,,
1989,Godzilla vs. Biollante,Kazuki Ōmori,Megumi Odaka, ,,
1989,Hard to Be a God,Peter Fleischmann,Edward Zentara, ,,
1989,Honey I Shrunk the Kids,Joe Johnston,Rick Moranis, ,,
1989,Jetsons: The Movie,Joseph Barbera,George O'Hanlon, ,Animated film,
1989,Journey to the center of the earth,Albert Pyun,Kathy Ireland, ,,
1989,Leviathan,George Pan Cosmatos,Peter Weller, ,,
1989,Lords of the Deep,Mary Ann Fisher,Bradford Dillman, ,,
1989,Meet the Hollowheads,Thomas R. Burman,John Glover, ,[37],
1989,Millennium,Michael Anderson,Kris Kristofferson, ,,
1989,Moontrap,Robert Dyke,Walter Koenig, ,,
1989,Mutant on the Bounty,Robert Torrance,Kyle T. Heffner, ,[39],
1989,Patlabor: The Movie,Mamoru Oshii,, ,Anime film,
1989,The Return of Swamp Thing,Jim Wynorski,Louis Jourdan, ,,
1989,Slipstream,Steven Lisberger,Mark Hamill, ,,
1989,Spontaneous Combustion,Tobe Hooper,Brad Dourif, ,,
1989,Star Trek V: The Final Frontier,William Shatner,William Shatner, ,[nb 25],
1989,The Terror Within,Thierry Notz,George Kennedy, ,,
1989,Tetsuo: The Iron Man,Shinya Tsukamoto,Tomoroh Taguchi, ,,
1989,Venus Wars,Yoshikazu Yasuhiko,, ,Anime film,
1989,A Visitor to a Museum,Konstantin Lopushansky,Viktor Mikhaylov, ,[40],
year,Title,Director,Cast,Country,Subgenre/Notes,
1990,Abraxas Guardian of the Universe,Damien Lee,Jesse Ventura, ,
1990,Aftershock,Frank Harris,James Lew, ,[1],
1990,Back to the Future Part III,Robert Zemeckis,Michael J. Fox, ,,
1990,Circuitry Man,Steven Lovy,Dana Wheeler-Nicholson, ,[2],
1990,Class of 1999,Mark L. Lester,Bradley Gregg, ,,
1990,The Dark Side of the Moon,D. J. Webster,Robert Sampson, ,,
1990,Fatal Sky,Frank Shields,Michael Nouri, ,[nb 1],
1990,Flatliners,Joel Schumacher,Kiefer Sutherland, ,,
1990,The Witches Cave,Yuri Moroz,Segej Zhigunov, ,action,
1990,Maroko,Mamoru Oshii,Masako Katsuki, ,Comedy drama ,
1990,Gremlins 2: The New Batch,Joe Dante,Zach Galligan, ,,
1990,The Handmaid's Tale,Volker Schlöndorff,Natasha Richardson, ,,
1990,Hardware,Richard Stanley,Dylan McDermott, ,,
1990,I Come in Peace,Craig R. Baxley,Dolph Lundgren, ,,
1990,Martians Go Home,David Odell,Randy Quaid, ,[5],
1990,Metamorphosis: The Alien Factor,Glenn Takajian,Tara Leigh, ,[7],
1990,Moon 44,Roland Emmerich,Michael Paré, ,,
1990,Omega Cop,Paul Kyriazi,Adam West, ,,
1990,Peacemaker,Kevin S. Tenney,Robert Forster, ,[9],
1990,Predator 2,Stephen Hopkins,Danny Glover, ,,
1990,The Rift,Juan Piquer Simón,Jack Scalia, ,[10],
1990,Rebel Storm,Franky Schaeffer,Zach Galligan, ,[11],
1990,RoboCop 2,Irvin Kershner,Peter Weller, ,,
1990,Robot Jox,Stuart Gordon,Gary Graham, ,,
1990,Shadowzone,J. S. Cardone,Louise Fletcher, ,,
1990,Solar Crisis,Richard Sarafian,Tim Matheson, ,,
1990,Spaced Invaders,Patrick Read Johnson,Douglas Barr, ,,
1990,Steel and Lace,Ernest D. Farino,Clare Wren, ,[12],
1990,Syngenor,George Elanjian Jr.,Starr Andreeff, ,,
1990,A Taste for Flesh and Blood,Warren F. Disbrow,Greg Scott , ,[13],
1990,Total Recall,Paul Verhoeven,Arnold Schwarzenegger, ,[nb 2],
1990,Watchers II,Thierry Notz,Marc Singer, ,,
1990,A Wind Named Amnesia,Kazuo Yamazaki,, ,Anime,
year,Title,Director,Cast,Country,Subgenre/Notes,
1991,964 Pinocchio,Shozin Fukui,, ,,
1991,Abraxas Guardian of the Universe,Damian Lee,Marjorie Bransfield, ,,
1991,And You Thought Your Parents Were Weird,Tony Cookson,Joshua John Miller, ,,
1991,Captain America,Albert Pyun,Matt Salinger, ,,
1991,Critters 3,Kristine Peterson,Aimee Brooks, ,,
1991,Critters 4,Rupert Harvey,Don Opper, ,,
1991,Dollman,Albert Pyun,Tim Thomerson, ,,
1991,Eve of Destruction,Duncan Gibbins,Gregory Hines, ,,
1991,Godzilla vs. King Ghidorah,Kazuki Ōmori,Kenpachiro Satsuma, ,,
1991,Murder by Moonlight,Michael Lindsay-Hogg,Brigitte Nielsen, ,[15],
1991,Naked Lunch,David Cronenberg,Peter Weller, ,,
1991,Prayer of the Rollerboys,Rick King,Corey Haim, ,,
1991,Riki-Oh: The Story of Ricky,Lam Nai-choi,Fan Siu-wong, ,,
1991,Robotrix,Jamie Luk,Chikako Aoyama, ,[17],
1991,The Guyver,Steve Wang,Mark Hamill, ,,
1991,The Rocketeer,Joe Johnston,Billy Campbell, ,,
1991,Roujin Z,Hiroyuki Kitakubo,, ,Anime,
1991,Star Trek VI: The Undiscovered Country,Nicholas Meyer,William Shatner, ,[nb 3],
1991,Terminator 2: Judgment Day,James Cameron,Arnold Schwarzenegger, ,[nb 4],
1991,The Terror Within II,Andrew Stevens,Andrew Stevens, ,,
1991,Trancers II,Charles Band,Tim Thomerson, ,,
1991,Until the End of the World,Wim Wenders,William Hurt, ,,
1991,Vegas in Space,Phillip R. Ford,Doris Fish, ,,
1991,Wax or the Discovery of Television Among the Bees,David Blair,William S. Burroughs, ,,
1991,Wedlock,Lewis Teague,Rutger Hauer, ,,
1991,Zeiram,Keita Amemiya,, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1992,Alien 3,David Fincher,Sigourney Weaver, ,,
1992,Bad Channels,Ted Nicolaou,Melissa Behr, ,,
1992,Freejack,Geoff Murphy,Emilio Estevez, ,,
1992,Godzilla vs. Mothra,Takao Okawara,Tetsuya Bessho, ,,
1992,Honey I Blew Up the Kid,Randal Kleiser,Rick Moranis, ,,
1992,The Lawnmower Man,Brett Leonard,Jeff Fahey, ,,
1992,The Lost World,Timothy Bond,John Rhys-Davies, ,,
1992,Memoirs of an Invisible Man,John Carpenter,Chevy Chase, ,,
1992,Mindwarp,Steve Barnett,Marta Alicia, ,[nb 5],
1992,Mom and Dad Save the World,Greg Beeman,Jon Lovitz, ,[20],
1992,Neon City,Monte Markham,Michael Ironside, ,[21],
1992,Project Shadowchaser,John Eyres,Frank Zagarino, ,,
1992,Prototype X29A,Phillip J. Roth,Brenda Swanson, ,[22],
1992,Rain Without Thunder,Gary O. Bennett,Betty Buckley, ,Drama,
1992,Seedpeople,Peter Manoogian,Sam Hennings, ,[23],
1992,Split Second,Tony Maylam,Rutger Hauer, ,,
1992,Tetsuo II: Body Hammer,Shinya Tsukamoto,Tomoroh Taguchi, ,,
1992,The Water Engine (TV film),Steven Schachter,Charles Durning, ,,
1992,Trancers III,C. Courtney Joyner,Tim Thomerson, ,,
1992,Universal Soldier,Roland Emmerich,Jean-Claude Van Damme, ,,
1992,The Wicked City,Leon Lai,Jacky Cheung, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1993,Acción mutante,Álex de la Iglesia,Antonio Resines, ,,
1993,Alien Intruder,Ricardo Jacques Gale,Billy Dee Williams, ,,
1993,American Cyborg: Steel Warrior,Boaz Davidson,Joe Lara, ,[24],
1993,Arcade,Albert Pyun,Megan Ward, ,,
1993,Body Melt,Philip Trophy,Gerard Kennedy, ,,
1993,Body Snatchers,Abel Ferrara,Gabrielle Anwar, ,,
1993,Carnosaur,Adam Simon,Diane Ladd, ,,
1993,Coneheads,Steve Barron,Dan Aykroyd, ,,
1993,Cyborg 2,Michael Shroeder,Angelina Jolie, ,,
1993,Cyborg Cop,Sam Firstenberg,David Bradley, ,,
1993,Demolition Man,Marco Brambilla,Sylvester Stallone, ,,
1993,Fire in the Sky,Robert Lieberman,D. B. Sweeney, ,,
1993,Fortress,Stuart Gordon,Christopher Lambert, ,,
1993,Ghost in the Machine,Rachel Talalay,Karen Allen, ,,
1993,Godzilla vs. Mechagodzilla II,Takao Okawara,, ,,
1993,Jurassic Park,Steven Spielberg,Sam Neill, ,[nb 6],
1993,Knights,Albert Pyun,Kris Kristofferson, ,[25],
1993,Mandroid,Joakim Ersgard,Curt Lowens, ,[26],
1993,The Meteor Man,Robert Townsend,Robert Townsend, ,,
1993,Nemesis,Albert Pyun,Olivier Gruner, ,,
1993,Patlabor: The Movie 2,Mamoru Oshii,, ,Anime,
1993,Philadelphia Experiment II,Stephen Cornwell,Brad Johnson, ,,
1993,RoboCop 3,Fred Dekker,Robert John Burke, ,,
1993,Robot Wars,Albert Band,Don Michael Paul, ,[28],
year,Title,Director,Cast,Country,Subgenre/Notes,
1994,A.P.E.X.,Phillip J. Roth,Richard Keats, ,[29],
1994,Automatic,John Murlowski,Olivier Gruner, ,[30],
1994,Circuitry Man 2,Robert Lovy,Vernon G. Wells, ,[31],
1994,CyberTracker,Richard Pepin,Don "The Dragon" Wilson, ,[32],
1994,Darkside Blues,Yoshimichi Furukawa,, ,Anime,
1994,Death Machine,Stephen Norrington,Brad Dourif, ,,
1994,Double Dragon,James Yukich,Robert Patrick, ,,
1994,Godzilla vs. SpaceGodzilla,Kensho Yamashita,Jun Hashizume, ,,
1994,No Escape,Martin Campbell,Ray Liotta, ,Sci-fi action,
1994,Oblivion,Sam Irvin,Richard Joseph Paul, ,Sci-fi western,
1994,Project Metalbeast,Alessandro De Gaetano,Barry Bostwick, ,,
1994,Project: Shadowchaser 2,John Eyres,Frank Zagarino, ,[34],
1994,The Puppet Masters,Stuart Orme,Donald Sutherland, ,,
1994,Solar Force,Boaz Davidson,Michael Paré, ,[35],
1994,Stargate,Roland Emmerich,Kurt Russell, ,[nb 7],
1994,Star Trek Generations,David Carson,Patrick Stewart, ,,
1994,T-Force,Richard Pepin,Jack Scalia, ,[36],
1994,Guyver: Dark Hero,Steve Wang,Mark Hamill, ,,
1994,Timecop,Peter Hyams,Jean-Claude Van Damme, ,,
1994,Trancers 4: Jack of Swords,David Nutter,Tim Thomerson, ,,
1994,Trancers 5: Sudden Deth,David Nutter,Tim Thomerson, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1995,Alien Visitor,Rolf de Heer,Ulli Birve, ,Drama,
1995,Attack of the 60 Foot Centerfold,Fred Olen Ray,J.J. North, ,Comedy film,
1995,Caged Heat 3000,Aaron Osborne,Lisa Boyle, ,[38],
1995,The City of Lost Children,Marc Caro,Ron Perlman, ,,
1995,Congo,Frank Marshall,Laura Linney, ,,
1995,Cyborg 3: The Recycler,Michael Shroeder,Zach Galligan, ,,
1995,Cyborg Cop II,Sam Firstenberg,David Bradley, ,,
1995,The Demolitionist,Robert Kurtzman,Nicole Eggert, ,[40],
1995,Fist of the North Star,Tony Randel,Gary Daniels, ,Martial arts,
1995,Galaxis,William Mesa,Craig Fairbrass, ,[41],
1995,Gamera: Guardian of the Universe,Shusuke Kaneko,Tsuyoshi Ihara, ,,
1995,Ghost in the Shell,Mamoru Oshii,, ,Anime,
1995,Godzilla vs. Destoroyah,Takao Okawara,Megumi Odaka, ,,
1995,Heatseeker,Albert Pyun,Keith Cooke, ,,
1995,Johnny Mnemonic,Robert Longo,Keanu Reeves, ,,
1995,Judge Dredd,Danny Cannon,Sylvester Stallone, ,,
1995,Memories,Katsuhiro Otomo,, ,Anime,
1995,Mighty Morphin Power Rangers: The Movie,Bryan Spicer,Karan Ashley , ,,
1995,Mosquito,Gary Jones,Gunnar Hansen, ,,
1995,Mutant Species,David A. Prior,Leo Rossi, ,[nb 8],
1995,Nemesis 2: Nebula,Albert Pyun,Sue Price, ,,
1995,Screamers,Christian Duguay,Ron White, ,
1995,Species,Roger Donaldson,Natasha Henstridge, ,,
1995,Strange Days,Kathryn Bigelow,Ralph Fiennes, ,,
1995,Tank Girl,Rachel Talalay,Lori Petty, ,,
1995,Terminal Impact,Yossi Wein,Bryan Genesse, ,[43],
1995,12 Monkeys,Terry Gilliam,Bruce Willis, ,[nb 10],
1995,Vampire Vixens from Venus,Ted A. Bohus,Leon Head, ,[44],
1995,Village of the Damned,John Carpenter,Christopher Reeve, ,,
1995,Virtuosity,Brett Leonard,Denzel Washington, ,,
1995,Waterworld,Kevin Reynolds,Kevin Costner, ,[nb 11],
1995,White Dwarf,Peter Markle,Neal McDonough, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1996,Adrenalin: Fear the Rush,Albert Pyun,Christopher Lambert, ,,
1996,The Arrival,David N. Twohy,Charlie Sheen, ,,
1996,Barb Wire,David Hogan,Pamela Anderson, ,[nb 12],
1996,Crossworlds,Krishna Rao,Rutger Hauer, ,[45],
1996,Escape from L.A.,John Carpenter,Kurt Russell, ,,
1996,Gamera 2: Attack of Legion,Shusuke Kaneko,, ,,
1996,Independence Day,Roland Emmerich,Will Smith, ,[nb 13],
1996,The Island of Dr. Moreau,John Frankenheimer,Marlon Brando, ,[nb 14],
1996,Mars Attacks!,Tim Burton,Jack Nicholson, ,,
1996,Memory Run,Allan A. Goldstein,Karen Duffy, ,[46],
1996,Multiplicity,Harold Ramis,Michael Keaton, ,,
1996,Nemesis 3: Prey Harder,Albert Pyun,Sue Price, ,,
1996,Nemesis 4: Death Angel,Albert Pyun,Sue Price, ,,
1996,Omega Doom,Albert Pyun,Rutger Hauer, ,,
1996,Rubber's Lover,Shozin Fukui,, ,,
1996,Sci-Fighters,Peter Svatek,Roddy Piper, ,,
1996,Solo,Norberto Barba,Mario Van Peebles, ,,
1996,Space Truckers,Stuart Gordon,Dennis Hopper, ,,
1996,Star Trek: First Contact,Jonathan Frakes,Patrick Stewart, ,[nb 15],
1996,Tykho Moon,Enki Bilal,Johan Leysen, ,[47],
1996,Zone 39,John Tatoulis,Carolyn Bock, ,Psychological drama,
year,Title,Director,Cast,Country,Subgenre/Notes,
