year,Title,Director,Cast,Country,Subgenre/Notes,
1958,Frankenstein 1970,Howard W. Koch,Boris Karloff, ,,
1958,Frankenstein's Daughter,Richard Cunha,Donald Murphy, ,,
1958,From the Earth to the Moon,Byron Haskin,Joseph Cotten, ,,
1958,The H-Man,Ishirō Honda,Yumi Shirakawa, ,,
1958,I Married a Monster from Outer Space,Gene Fowler,Tom Tryon, ,,
1958,It! The Terror from Beyond Space,Edward L. Cahn,Marshall Thompson, ,,
1958,The Lost Missile,Lester William Berke,Robert Loggia, ,[19],
1958,Missile to the Moon,Richard E. Cunha,K. T. Stevens, ,,
1958,The New Invisible Man,Alfredo B. Crevenna,Arturo de Córdova, ,[20],
1958,Night of the Blood Beast,Bernard Kowalski,Michael Emmet, ,,
1958,Queen of Outer Space,Edward Bernds,Zsa Zsa Gabor, ,,
1958,The Space Children,Jack Arnold,Adam Williams, ,,
1958,Space Master X-7,Edward Bernds,Robert Ellis, ,,
1958,Teenage Cave Man,Roger Corman,Robert Vaughn, ,,
1958,Teenage Monster,Jacques R. Marquette,Anne Gwynne, ,[nb 21],
1958,The Trollenberg Terror,Quentin Lawrence,Forrest Tucker, ,[nb 22],
1958,Varan the Unbelievable,Ishirō Honda,Tsuruko Kobayashi, ,[nb 23],
1958,War of the Colossal Beast,Bert I. Gordon,Sally Fraser, ,,
1958,War of the Satellites,Roger Corman,Susan Cabot, ,[22],
year,Title,Director,Cast,Country,Subgenre/Notes,
1959,The 30 Foot Bride of Candy Rock,Sidney Miller,Lou Costello, ,,
1959,4D Man,Irvin Shortess Yeaworth Jr.,Robert Lansing, ,,
1959,The Angry Red Planet,Ib Melchior,Gerald Mohr, ,,
1959,The Atomic Submarine,Spencer Gordon Bennet,Arthur Franz, ,,
1959,Attack of the Giant Leeches,Bernard Kowalski,Jan Shepard, ,,
1959,Battle Beyond the Sun,Mikhail Kozyry,Aleksandr Shvorin, ,,
1959,Battle in Outer Space,Ishirō Honda,Ryo Ikebe, ,,
1959,The Cosmic Man,Herbert Greene,Bruce Bennett, ,[23],
1959,First Man into Space,Robert Day,Marshall Thompson, ,[24],
1959,Giant Gila Monster,Ray Kellogg,Don Sullivan, ,,
1959,Gigantis the Fire Monster,Paul Schreibman,Hiroshi Koizumi, ,,
1959,Have Rocket Will Travel,David Lowell Rich,Jerome Cowan, ,,
1959,The Head,Victor Trivas,Michel Simon, ,[25],
1959,The Hideous Sun Demon,Robert Clarke,Robert Clarke, ,,
1959,Invisible Invaders,Edward L. Cahn,John Agar, ,,
1959,Journey to the Center of the Earth,Henry Levin,Pat Boone, ,,
1959,The Killer Shrews,Ray Kellogg,James Best, ,,
